   139	13-2-20CM-68-14 sp005888315
   140	14-2 sp000403255
   141	14-2 sp000403315
   142	14-2 sp000403845
   143	14-2 sp001940225
   144	14-2 sp004793545
   145	14-2 sp009774455
   146	14-2 sp009911185
   147	14-2 sp011960065
   148	14-2 sp012519695
   149	14-2 sp910575005
   150	14-2 sp910575035
   151	14-2 sp910575075
   152	14-2 sp910575155
   153	14-2 sp910576385
   154	14-2 sp910576975
   155	14-2 sp910577785
   156	14-2 sp910578825
   157	14-2 sp910580015
   158	14-2 sp910580195
   159	14-2 sp910583835
   160	14-2 sp910584585
   161	14-2 sp910585395
   162	14-2 sp910585625
   163	14-2 sp910585895
   164	14-2 sp910586005
   165	14-2 sp910587895
   166	14-2 sp910588285
   167	14-2 sp910588845
   168	14-2 sp910588885
   169	14-2 sp910588965
   170	14-2 sp910589635
   171	143-21 sp019203185
   172	16-39-46 sp002257235
   173	16-39-46 sp018242545
   174	17J80-11 sp010975005
   175	17J80-11 sp014349105
   176	17J80-11 sp018241995
   177	18H4-34 sp019057815
   178	18JY21-1 sp004344915
   179	1XD42-69 sp003612565
   180	1XD42-69 sp009911505
   181	1XD42-69 sp011959925
   182	1XD42-69 sp014287635
   183	1XD42-69 sp017624495
   184	1XD42-69 sp017625255
   185	1XD42-69 sp910577065
   186	1XD42-69 sp910585825
   187	1XD42-69 sp910586355
   188	1XD42-69 sp910586645
   189	1XD42-69 sp910586725
   190	1XD42-69 sp910588565
   191	1XD42-69 sp910589105
   192	1XD8-76 sp003611955
   193	1XD8-76 sp014804795
   194	1XD8-76 sp015056725
   195	1XD8-76 sp910573755
   196	1XD8-76 sp910577955
   197	1XD8-76 sp910578085
   198	1XD8-76 sp910584915
   199	2011-GWA2-47-8b sp001003205
   200	2011-GWC2-44-17 sp001029695
   201	2011-GWC2-44-17 sp001790515
   202	2011-GWC2-44-17 sp004145215
   203	2011-GWC2-44-17 sp016199685
   204	2013-40CM-41-45 sp002215675
   205	2013Ark19i sp001460935
   206	2013Ark19i sp900078745
